id,titulo,genero,actor1,actor2,actor3,director,anio,calidad,formato,sinopsis
2,OPERACIÓN TRUENO,Aventuras,Sean Connery,Claudine Auger,Adolfo Celi,Terence Young,1965,Color,DVD,"Fecha de estreno en Montevideo: 1-01-1968. Trocadero, Radio City
   La organización Spectre se apodera de un bombardero equipado con dos bombas nucleares y amenaza con destruir una ciudad de Usa o Inglaterra si no le entregan cien millones de libras esterlinas. El caso le es asignado al agente 007."
3,MARCHA DE VALIENTES,Western,John Waynne,William Holden,Constance  Towers,John Ford,1959,Color,DVD,"The Horse Soldiers.1959
   En abril de 1863,durante la Guerra de Secesión, el Coronel nordista
Marlowe (John Wayne) recibe la orden de partir con una abundante fuerza y adentrarse trescientas millas en territorio sudista, destruir ferrocarriles y regresar con el menor número de bajas posible, pero debe acompañarles el Comandante médico Kandall (William Holden), lo que no le gusta ya que detesta a los ""matasanos"", a quienes respozabiliza de la muerte de su esposa.
   Durante el trayecto ocupan una casa sudista y tienen que llevar con ellos a Hanna Hunter (Constance Tower) y su criada ya que al espiarlos se han enterado de los planes. Tras cumplir su misión, el Cnel Marlowe no regresa al punto de partida y sigue hasta Báton Rouge para desconcertar a sus perseguidores, reconciliarse con el Dr Kendall y enamorarse de Hanna Hunter.
   Tradicional película de itinerario. No es una de las obras maestras de Ford, pero está cerca y ha ganado con el paso de los años y tiene un mensaje antibélico.
  Fecha de estreno en Montevideo: 11-02-1960. Cines Censa y California."
4,TIBURON,Aventuras,Robert Shaw,Roy Scheider,Richard Dreyfuss,Steven Spielberg,1975,Color,DVD,"Fecha de estreno en Montevideo: 1-01-1976. Metro. Censa
  La película cuenta como un enorme tiburón blanco ataca a los bañistas en las playas de una isla turística. Estos sucesos llevan al sheriff a cerrar las playas y a emprender la caza del éscualo junto a un biólogo marino y un cazatiburones profesional, Dreyfuss y Shaw respectivamente..
  El tema musical que anuncia la inminente aparición del tiburón es inquietante.
  Le siguieron tres secuelas ninguna con la participación de Spielberg."
5,RAMBO,Bélica,Sylvester Stallone,Richard Crenna,Brian Dennehy,Ted Kotcheff,1982,Color,DVD,"Fecha de estreno en Montevideo: 2-06-1983. Censa
  John J Rambo es un veterano de la guerra de Vietnam a quien le fue entregada la Medalla de Honor que tiene problemas para adaptarse a la vida civil.
  Un día un sheriff lo detiene por vagabundear. Al revisarlo ve que tiene un puñal de combate militar. Rambo dice que lo usa para cazar, pero el Sheriff no le cree y lo lleva a la Comisaría. Allí es golpeado y eso le trae recuerdos de cuando fue prisionero de guerra.
  Logra escapar y se retira a las montañas. Un grupo de policías sale en su búsqueda pero son reducidas por Rambo. El sheriff se ve obligado a llamar a la Guardia Nacional. Allí aparece un antiguo oficial que estuvo al mando de Rambo (Richard Crenna) y advierte que, dada la experiencia en combate de Rambo puede matarlos a todos. 
  Finalmente el Coronel le dice a Rambo que termine esta miniguerra y Rambo, entre sollozos, le cuenta de su ira por la forma que la sociedad lo ha maltratado y el ejército lo ha olvidado. Finalmente Rambo se entrega."
6,LOS DOCE DEL PATIBULO,Bélica,Lee Marvin,Charles Bronson,John Cassavetes,Robert Alcrich,1967,Color,DVD,"Fecha de estreno en Montevideo:28-02.1968 Ambassador
  Lee Marvin es el comandante Reisman. Por su indisciplina se le encarga una misión suicida: asaltar un cuartel en los territorios ocupados por los alemanes antes del desembarco y matar la mayor cantidad de oficiales germanos. Para ello recluta doce condenados a muerte con la promesa de otorgarles la libertad a los que regresen."
7,ROSA DE ABOLENGO,Drama,Greer Garson,Walter Pidgeon,Teresa Wright,William Wyler,1942,B&N,DVD,"En un pequeño pueblo de Inglaterra la familia Miniver ve alterada su tranquila vida por la II Guerra Mundial. El padre y el hijo mayor van a combatir y la madre (Greer Garson) se queda con su hijo menor y su nuera. Es una película de propaganda bélica que incita a luchar contra los alemanes.
   Greer Garson ganó el Oscar por su labor.
Fecha de estreno en Montevideo: 4-12-1942 Cine Metro."
8,ROCKY I,Aventuras,Sylvester Stallone,Burguess Meredith,Talia Shire,John Avildsen,1976,Color,DVD,"Fecha de estreno en Montevideo: 2-04-1977 Trocadero
  Rocky es un boxeador de segunda clase. Un buen día el campeón del mundo Apollo Creek al no tener rival ante la imposibilidad del púgil al que iba a enfrentar elige a Rocky para combatir sabiendose superior.
   Rocky acepta y comienza a entrenar solo, es muy recordada la escena en que sube las escalinatas de un edificio público.
   Consigue que un viejo entrenador (Burguess Meredith) lo ayude en la preparación.
   Está basada en algún hecho real, como el del uruguayo Alfredo Evangelista que llegó a pelear con Mohamed Alí en esas condiciones.
   Ganó el Oscar a mejor película."
9,EL PISTOLERO,Western,John Wayne,Laureen Bacall,Ron Howard,Don Siegel,1976,Color,DVD,"Fecha de estreno en Montevideo: 27-10-1977. Iguazu.


  .

 Cuenta la historia de un viejo pistolero enfermo terminal. Sabiendo que le quedaba poco prefiere terminar su vida en un tiroteo en una cantina.
  Don Siegel recurrió a un monteje de fragmentos de films anteriores. La realidad se confundió con la leyenda.
  Ultima pelicula de John Wayne."
10,TIBURON II,Aventuras,Roy Scheider,Lorraine Gary,Joe Mascolo,Jeannet Szware,1978,Color,DVD,"Fecha de estreno en Montevideo: 25-12-1978.Censa,California,Punta Gorda.
  Han pasado cinco años del ataque del tiburón blanco. Dos buzos son atacados por otro tiburón blanco en la misma localidad.
  Se producen otros ataques y el comisario (Roy Scheider) deberá intervenir."
11,AHORA MI NOMBRE ES NADIE,Western,Henry Fonda,Terence Hill,Piero Lulli,Tonino Velrii,1974,Color,DVD,"Fecha de estreno en Montevideo:10-02-1975. Censa
 De camino a Nueva Orleans para tomar el barco que se dirige a Inglaterra, Jack (Henry Fonda)conoce a un forastero cuyo nombre es Nadie (Terence Hill). Este lo seguirá a todas partes pero ayudará a Jack a enterrar su pasado."
12,EL GOLPE,Comedia,Paul Newman,Robert Redford,Robert Shaw,George Roy Hill,1973,Color,DVD,"Fecha de estreno en Montevideo: 1-08-1974. Metro,Censa"
13,LA PANDILLA SALVAJE,Western,William Holden,Ernest Borgnine,Robert Ryan,Sam Peckimpah,1969,Color,DVD,Fecha de estreno en Montevideo:27-12-1969. 18 de julio
14,LA CONQUISTA DEL OESTE,Western,Gregory Peck,Debbie Reynolds,James Stewart,John Ford y otr.,1963,Color,DVD,Fecha de estreno en ROU: 2/07/1964 Cine Eliseo (Cinerama)
15,EL ROLLS ROYCE AMARILLO,Comedia,Rex Harrison,Alain Delon,Omar Shariff,Anthony Asquith,1965,Color,DVD,Fecha de estreno en Montevideo:30-09-1965 Metro
17,ALTA SOCIEDAD,Musical,Grace Kelly,Bing Crosby,Frank Sinatra,Charles Walters,1956,Color,DVD,Fecha de estreno en Montevideo: 21-03-1957.Metro
18,DESPEDIDA DE SOLTERO,Comica,Tom Hanks,Tawney Kitaen,Adrian Zmed,Neal Isa\r\nNeal Israel,1984,Color,DVD,Fecha de estreno en Montevideo:27-11-1984. Plaza
19,ROCKY II,Aventuras,Sylvester Stallone,Burguess Meredith,Talia Shire,Sylvester Stallonne,1979,Color,DVD,"Fecha de estreno en Montevideo:19-10-1979. Ariel, Carrasco"
20,LO MEJOR DE NUESTRA VIDA,Drama,Fredric March,Myrna Loy,Dana Andrews,William Wyler,1946,B&N,DVD,Fecha de estreno en Montevideo: 22-10-1947. Trocadero
21,CIMARRON,Drama,Richard Dix,Irene Dunne,Estelle Taylor,Howard Estabrook,1931,B&N,DVD,Fecha de estreno en Montevideo: 3-10-1931. Rex
22,LOS IRROMPIBLES,Western,Jorge Martínez,Ricardo Espalter,Graciela Alfano,Emilio Vieyra,1975,Color,DVD,"Fecha de estreno en Montevideo: 25-08-1975. Censa
A fines del siglo XIX, dos personas defienden una mina de unos bandidos que dependen de una organización que está en la ciudad.
  Es interesante ir viendo a los integrantes de Telecataplum durante el desarrollo del film."
23,SU VENGANZA ERA MATAR,Western,Gregory Peck,Dawn Lyn,Robert F. Lyons,Henry Hathaway,1971,Color,DVD,Fecha de estreno en Montevideo: 15-01-1972. Ambassador
24,DEL DESTINO NADIE HUYE(La mano izquierda de Dios),Aventuras,Humphrey Bogart,Gene Tierney,Lee J. Cobb,Edward Dmitryck,1955,Color,DVD,Fecha de estreno en Montevideo: 16-07-1956. Trocadero
25,EL ORO DE MACKENNA,Western,Gregory Peck,Omar Shariff,Telly Savalas,J. Lee Thomson,1969,Color,DVD,Fecha de estreno en Montevideo: 18-08-1969. Plaza
26,CASABLANCA,Drama,Humphrey Bogart,Ingrid Bergman,Paul Henried,Michael Curtiz,1942,ByN,DVD,Fecha de estreno en Montevideo: 9-04-1943. Victory
27,HOGAR DULCE HOGAR,Comedia,Tom Hanks,Shelley Long,Alexander Godunov,Richard Benjamin,1986,Color,DVD,"Fecha de estreno en Montevideo: 18-09-1986. Metro,Punta Gorda"
28,UN DÓLAR MARCADO,Western,Giuliano Gemma,Evelyn Stewart,Ida Galli,Giorgio Ferroni,1965,Color,DVD,Fecha de estreno en Montevideo: 30-09-1966 Trocadero
29,HORIZONTES DE GRANDEZA,Western,Gregory Peck,Jean Simmons,Charlton Heston,William Wyler,1958,Color,DVD,"Fecha de estreno en Montevideo: 3-08-1959. Censa, California"
32,APACHE,Western,Burt Lancaster,Jean Peters,John McIntire,Robert Aldrich,1954,Color,DVD,9-05-1955 Trocadero
33,10 LA MUJER PERFECTA,Comedia,Dudley Moore,Bo Derek,Julie Andrews,Blake Edwards,1979,Color,DVD,"25-08-1980 18 de julio, Central"
35,LOS CABALLEROS DEL REY ARTURO,Aventuras,Robert Taylor,Ava Gardner,Mel Ferrer,Richard Thorpe,1953,Color,DVD,8-07-1954 Metro
36,COMANDO,Policial,Arnold Schwzernegger,Rae Dawn,Dan Hedaya,Mark Lester,1985,Color,DVD,"20-03-1986 Central, Casablanca"
37,ESCAPE A LA VICTORIA,Aventuras,Sylvester Stallone,Michael Caine,Max Von Sidow,John Huston,1981,Color,DVD,26-03-1982 18 de julio
38,CRIMEN POR MUERTE,Comedia,David Niven,Peter Sellers,Peter Falk,Robert Moore,1976,Color,DVD,7-04-1977 18 de julio
39,EL SATANICO DR NO,Aventuras,Sean Connery,Ursula Andress,Joseph Witerman,Terence Young,1962,Color,DVD,11-11-1963 Plaza
40,CHARADA,Policial,Cary Grant,Audrey Hepburn,Walter Matthau,Stanley Donen,1963,Color,DVD,10-04-1964 Censa
41,ASCENSOR PARA EL CADALSO,Policial,Jeanne Moreau,Mauriece Ronet,Georges Poujouly,Louis Malle,1958,B&N,DVD,23-08-1958 Plaza
42,EL DESFILADERO DE LA MUERTE,Western,Susan Hayward,Jeff Chandler,Jacques Bergerac,Rusell Rouse,1959,Color,DVD,"Un grupo de inmigrantes vascos llega a Misouri, huyendo de las guerras napoleonicas, con la intención de establecerse en tierrras de California. Para atravesar el peligroso territorio indio contratan a un guía para que los ayude a realizar la travesía, pero la relación de este con la novia del jefe de la caravana va a traerle al grupo graves problemas…
13-02-1960 Trocadero como Tormenta bajo el sol"
44,LA MAQUINA DEL TIEMPO,Ciencia Ficción,Rod Taylor,Alan Young,Ivette Mimieux,George Pal,1960,Color,DVD,7-10-1960 Ariel
45,EL BARON MUNCHAUSEN,Aventuras,Milos Kopecky,Rudolf Jelinek,Jana Brejchova,Kerel Zeman,1962,Color,DVD,10-01-1964 Radio City
46,EL SOL ROJO,Western,Charles Bronson,Toshiro Mifune,Alain Delon,Terence Young,1971,Color,DVD,22-05-1972 Plaza
47,EL COLLAR DE LA MUERTE,Policial,Christopher Lee,Senta Berger,Thorley Waletrs,Terence Fisher,1962,B&N,DVD,No estrenada en salas en Montevideo
48,TOP GUN,Aventuras,Tom Cruise,Kelly McGillis,Abthiny Edwards,Tony Scott,1986,Color,DVD,"25-12-1986. Metro, Alfa"
49,SANGRE Y ARENA,Drama,Tyrone Power,Rita Hayworth,Linda Darnell,Rouben Mamoulian,1941,Color,DVD,5-11-1941. Trocadero
50,EL ACORAZADO POTEMKIN,Drama,Grigorii Aleksandrov,Vladimir Borskii,Ivan Brobov,Sergei Eisenstein,1925,B&N,DVD,13-04-1944. Azul
51,LA LEY DEL TALION,Western,Robert Redford,Will Geer,Allyn Ann,Sydney Pollack,1972,Color,DVD,29-01-1973 Censa
52,HORAS DESESPERADAS,Policial,Humphrey Bogart,Fredric March,Arthur Kennedy,William Wyler,1955,Color,DVD,21-03-1956. PlazaTres convictos escapados de prisión se esconden en un chalet de una familia tomando como rehenes a los miembros de la casa y que vivirán un auténtico horror sin que la policia lo sepa.
53,EL PUENTE SOBRE EL RIO KWAI,Bélica,William Holden,Alec Guinness,Sessue Hayakawa,David Lean,1957,Color,DVD,18-06-1958 Censa
54,LAGRIMAS Y SONRISAS,Drama,Charles Laughton,Richard Widmark,Anne Baxter,Henry Hathaway,1952,B&N,DVD,16-07-1953 Censa
55,LA MUERTE VIAJA A CABALLO,Western,Lee Van Cleef,John P. Law,Luigi Pistili,Giulio Petroni,1967,Color,DVD,14-06-1969 Trocadero
56,ANGUSTIA DE UN QUERER,Drama,William Holden,Jennifer Jones,Torin Tatcher,Henry King,1955,Color,DVD,1-03-1956 Censa
57,CUPIDO MOTORIZADO,Comica,Dean Jones,Michele Lee,David Tomlinson,Robert Stevenson,1968,Color,DVD,14-09-1970 Censa
58,CARTOUCHE,Aventuras,Jean Paul Belmondo,Claudia Cardinale,Jess Hahn,Philippe De Vroca,1962,Color,DVD,4-04-1963 Trocadero
59,GUNGA DIN,Aventuras,Cary Grant,Victor Mc Laglen,Sam Jaffe,George Stevens,1939,ByN,DVD,1-06-1939 Radio City
60,OLA DE CRIMENES (Crime Wave),Cine Negro,Sterling Hayden,Gene Nelson,Charles Bronson,Andre de Toth,1954,B&N,DVD,"8-01-1957 Victory.
Estrenada en Montevideo con el título de ""Ciudad en Tinieblas"""
61,LO QUE EL VIENTO SE LLEVO,Drama,Clark Gable,Vivien Leigh,Leslie Howard,Victor Flemming,1939,Color,DVD,25-09-1940  Metro
62,ALGO PARA RECORDAR,Comedia,Cary Grant,Deborah Kerr,Richard Denning,Leo Mc Carey,1957,Color,DVD,1-01-1958 Radio City
63,EL PIBE,Drama,Charles Chaplin,Edna Purviance,Jackie Coogan,Charles Chaplin,1921,ByN,DVD,28-03-1961 Rex. En versión sonorizada
64,EL PIRATA HIDALGO,Aventuras,Burt Lancaster,Nick Cravat,Eva Bartok,Robert Siodmak,1952,Color,DVD,"23-01-1956 Iguazú, El Porvenir"
65,EL PASTOR DE LAS COLINAS,Western,John Wayne,Betty Field,Harry Carey,Henry Hathaway,1941,B&N,DVD,"16-12-1941 Ambassador con el título ""Destino de Sangre"""
66,LLOYD DE LONDRES,Drama,Tyrone Power,Madeleine Carroll,Freddie Bartholomew,Henry King,1936,B&N,DVD,25-06-1937 Metro
67,LA LUNA DEL CAZADOR,Western,Gregory Peck,Eva Marie Saint,Robert Forster,Robert Mulligan,1968,Color,DVD,3-12-1970 Censa
68,LAS CUATRO PLUMAS,Aventuras,Ralph Richardson,John Clements,C. Aubrey Smith,Zoltan Korda,1939,Color,DVD,19-10-1939 Radio City
69,LA BELLA DEL YUKON,Western,Randolph Scott,Gypsy Rose Lee,Dinah Shore,William Seiter,1944,Color,DVD,"25-12-1946 Trocadero con el titulo ""La divina aventurera"""
70,MARY POPPINS,Comedia,Dick Van Dike,Julie Andrews,David Tomlinson,Robert Stevenson,1964,Color,DVD,29-12-1966 California
71,ANNIE,Comedia,Albert Finney,Carol Burnett,Aileen Quinn,John Huston,1982,Color,DVD,"16-12-1982 Ambassador, Punta Gorda"
72,EL HOMBRE DEL MILLON,Comedia,Gregory Peck,Jane Griffiths,Carol Burnett,Ronald Neame,1954,Color,DVD,"28-03-1955 Eliseo, Trocadero"
73,LA VERDADERA HISTORIA DE UN PERRO,Drama,Donald Crisp,Laurence Naismith,Alex Mackenzie,Don Chaffey,1961,Color,DVD,No estrenada en salas.
74,INTRIGA INTERNACIONAL,Suspenso,Cary Grant,James Mason,Eva Marie Saint,Alfred Hitchcock,1959,Color,DVD,"9-09-1959 Metro, Casablanca"
75,PEDRO Y EL DRAGON,Comedia,Sean Marshall,Mickey Rooney,Shelley Winters,Don Chaffey,1977,Color,DVD,14-09-1979 Iguazú
76,LA VUELTA AL MUNDO EN OCHENTA DIAS,Aventuras,David Niven,Cantinflas,Shirley MacLaine,Michael Anderson,1956,Color,DVD,05-09-1958 Grand Palace
78,DAKOTA,Western,John Wayne,Vera Ralston,Walter Brennan,Joseph Kane,1945,B&N,DVD,"Devlin (John Wayne) es un jugador que se muda con su nueva esposa Sandy (Vera Ralston) a Dakota, donde espera conseguir un buen lucro con la expansión del tren. En el viaje se encuentran con dos bandidos, Bender y Collins (Ward Bond y Mike Mazurki), que viven robando haciendas y expulsando a los hacendados de sus propiedades. Los dos bandidos le roban el dinero a John y Sandy.
  Acción desde el comienzo hasta un emocionante final.
Fecha de estreno en Montevideo: 10 de febrero de 1949.
Cine: Radio City
Se estrenó con el título de ""Corazones sin rumbo"".
10-02-1949 Radio City"
79,CUPIDO MOTORIZADO A LA CARGA,Comedia,Cloris Leachman,Charles Martin Smith,Harvey Korman,Vincent Mc Eveety,1980,Color,DVD,"02-07-1981 California, Casablanca"
80,MUERTE EN EL NILO,Policial,Peter Ustinov,David Niven,Mia Farrow,John Guillermin,1978,Color,DVD,"8-02-1979 Plaza, Casablanca"
81,LA PANTERA ROSA ATACA DE NUEVO,Comedia,Peter Sellers,Harbert Lom,Colin Blakeley,Blake Edwards,1976,Color,DVD,13-05-1977 Plaza
82,MOGAMBO,Aventuras,Clark Gable,Ava Gardner,Grace Kelly,John Ford,1953,Color,DVD,9-05-1954 Metro
83,DESTINO: LA LUNA,Ciencia Ficción,John Archer,Dick Wesson,Tom Powers,Irving Pichel,1950,Color,DVD,"11-03-1952 Trocadero, Eliseo"
84,GORDON EN LA CIUDAD FANTASMA(serial),Western,Buck Jones,Madge Bellany,Walter Miller,Ray Taylor,1933,ByN,DVD,
85,LAS MARIPOSAS SON LIBRES,Comedia,Goldie Hawn,Edward Albert,Eileen Heckart,Milton Katselas,1972,Color,DVD,7-09-1973 Rex
86,MURIERON CON LAS BOTAS PUESTAS,Western,Errol Flynn,Olivia de Havilland,Arthur Kennedy,Raoul Walsh,1941,ByN,DVD,
87,20.000 LEGUAS DE VIAJE SUBMARINO,Ciencia Ficción,James Mason,Kirk Douglas,Paul Lukas,Richard Fleischer,1954,Color,DVD,"1-01-1956 Trocadero, Ariel.
La novela de Julio Verne llevada a la pantalla por la casa Disney.
Se destaca la labor de James Mason como el Capitán Nemo."
88,LAS MINAS DEL REY SALOMON,Aventuras,Stewart Granger,Deborah Kerr,Richard Carlson,Andrew Marton,1950,Color,DVD,15-03-1951 Metro
89,LA PROFECIA,Suspenso,Gregory Peck,Lee Remick,Harvey Stephens,Richard Donner,1976,Color,DVD,01-04-1977 Radio City
90,EL PADRE DE LA NOVIA,Comedia,Spencer Tracy,Joan Bennett,Elizabeth Taylor,Vincente Minelli,1950,Color,DVD,04-01-1951 Metro
91,RAMBO II,Bélica,Sylvester Stallone,Richard Crenna,Charles Napier,George Pan Cosmatos,1985,Color,DVD,"30-06-1988 Trocadero,Grand Splendid,Carrasco."
92,ARSENICO Y ENCAJE ANTIGUO,Comedia,Cary Grant,Priscilla Lane,Raymond Massey,Frank Crapa,1944,ByN,DVD,21-09-1944 Ambassador
93,BILLY DOS SOMBREROS,Western,Gregory Peck,Desi Arnaz Jr.,Jack Warden,Ted Kotcheff,1973,Color,DVD,02-12-1974 Central como Matando sin compasión
94,EL CLAN SICILIANO,Policial,Jean Gabin,Alain Delon,Lino Ventura,Henri Verneuil,1969,Color,DVD,16-10-1970 Censa
95,YO QUIERO SER BATACLANA,Comedia,Juan C. Thorry,Nini Marshall,Sabina Olmos,Manuel Romero,1941,ByN,DVD,"25-03-1941 Ambassador
Un hombre adinerado produce una revista por que está interesado en la vedette del elenco que es novia del director.
 De lo mejor de Manuel Romero y Nini Marshall.
 Inolvidable la Muerte del Cisne interpretada por Marshall.
 El siempre correcto actor y carismático galán Juan Carlos Thorry canta ""Tres recuerdos"" como pocos lo han hecho. Lamentablemente nunca lo llevó al disco. Si lo hizo Sabina Olmos.
  Las actuaciones de todo el elenco hacen olvidar el punto debil del film: el argumento."
96,EL SOLTERON,Comedia,Enrique Serrano,Juan C. Thorry,Fanny Navarro,Francisco Mugica,1940,ByN,DVD,"7-09-1940. Rex
Un solteron y juerguista se regenera para recuperar el afecto de su hijo del que desconocia su existencia. Tiene que volver a la noche para que su cuñado no  llegue a la ruina a causa de una amante.
  Comedia de tono amable, con bastantes momentos de humor a cargo de Enrique Serrano en un rol que le caía de medida."
97,TONTOS DE ALTURA,Comedia,Stan Laurel,Oliver Hardy,Jean Parker,Edward Sutherland,1939,ByN,DVD,"27-04-1940 Rex
 Oliver defraudado por el rechazo de una mujer de la que está enamorado decide suicidarse. Stan intenta ayudar a Oliver a suicidarse pero no quiere compartir todas sus desgracias. El  intento no se consuma por la intervención de un Oficial del Ejército que los convence que se alisten en La Legión Extranjera. Ingresan pero son tan inútiles que son condenados a muerte.Logran fugarse y escapan en un avión que finalmente se estrella y fallece Ollie."
98,"SHANE, EL DESCONOCIDO",Western,Alan Ladd,Jean Arthur,Van Heflin,George Stevens,1952,Color,DVD,11-10-1954 Iguazú
99,SANSON Y DALILA,Histórica,Victor Mature,Hedy Lamarr,George Sanders,Cecil B. De Mille,1949,Color,DVD,"10-07-1951 Trocadero,Eliseo,Radio City"
100,E.T.,Ciencia Ficción,Drew Barrymore,Henry Thomas,Peter Coyote,Steven Spielberg,1982,Color,DVD,"25-12-1982 Censa, Metro, Punta Gorda"
101,LOS MARTES ORQUIDEAS,Comedia,Enrique Serrano,Juan C. Thorry,Mirtha Legrand,Francisco Mugica,1941,ByN,DVD,"10-06-1941 Ambassador
Un hombre padre de cuatro hijas queda preocupado por la timidez de la menor de ellas. Comienza a enviarle semanalmente flores, las orquídeas del título. Un día se olvida y envía las flores por un joven desocupado. La hija lo llega a ver por una ventana y cree que es su secreto admirador.
  De ella el crítico argentino Roland dijo: ""de una fluidez encantadora. Sortea habilmente la cursilería y el chiste vulgar.""
  Grandes actuaciones de Serrano y Thorry. Película consagratoria de Mirtha Legrand."
102,VERACRUZ,Western,Gary Cooper,Burt Lancaster,César Romero,Robert Aldrich,1954,Color,DVD,"22-08-1955 Trocadero, Ariel"
103,RUGIDO DE RATON,Comedia,Peter Sellers,Margaret Rutheford,Jean Seberg,Jack Arnold,1959,Color,DVD,18-07-1960 California
104,LOS CAÑONES DE SAN SEBASTIAN,Western,Anthony Quinn,Charles Bronson,Anjanette Commer,Hanri Verneuil,1969,Color,DVD,31-10-1968 Metro
106,ASI ES LA VIDA,Drama,Luis Sandrini,Susana Campos,Gabriela Gili,Enrique Carreras,1977,Color,DVD,"16-06-1977 Censa
La historia de una familia bonaerense durante tres décadas,desde  principios del siglo XX hasta los años treinta.Es una evocación que refleja alegrías y tristezas de los acontecimientos familiares.
 Basada en la obra de Arnaldo Malfati y Nicolás de las Llanderas.
 Completan el reparto Angel Magaña, Andres Percivale, Darío Vittori, Adolfo García Grau, Ricardo Darín.
Remake de la película del mismo nombre de 1939"
107,ASESINATO POR DECRETO,Policial,Christopher Plumer,James Mason,Donald Sutherland,Bob Clark,1979,Color,DVD,"Fecha de estreno en Montevideo: 2 de octubre de 1980. Cine Plaza.
Christopher Plummer y James Mason interpretan a Sherlock Holmes y al Dr Watson en esta entretenida película de crimen y misterio que trata la brutal sucesión de asesinatos de prostitutas cometidos por Jack el destripador en los años 80 del siglo XIX. Entre los secundarios figuran Donald Sutherland y Anthony Quayle. La película muestra como Holmes intenta detener de una vez por todas la ola de asesinatos en una aventura que alcanza a los miembros màs elevados de la escala social, a lo que se une una conspiraciòn en la que participan masones y miembros de la familia real."
108,RIO DE POLVORA(Honor sin fronteras),Western,Rory Calhoun,Corinne Calver,Cameron Mitchell,Louis King,1953,Color,DVD,"El alguacil Chino Bull (Rory Calhoun) ha decidico colgar las armas, buscar oro y convertirse en un hombre pacífico; pero cuando su compañero es asesinado a tiros, se hace nombrar sheriff del pueblo,entabla amistad con el pistolero Mitch Hardin (Cameron Mitchell), un médico que ha abandonado la profesión por homicidio, y se convierten en enemigos de los hermanos Logan (Carl Betz y John Dehner). Cuando la novia de Hardin, Debbie (Penny Edwards), llega del este, no se siente bien recibida, a lo que ayuda Frenchie (Corinne Calvet) la dueña del salón.
   Este curioso western de serie B se distingue por los sorprendentes giros de guión, el suspenso de la trama - rasgo no común en el género- y la agudeza y brillantez de los diálogos, firmados por Geoffrey Homes. Bajo este seudónimo se ocultaba Daniel Mainwaring, escritor y guionista perseguido durante el macartismo y autor de la novela en que se basó ""Retorno al pasado"" una de las mejores películas del cine negro.
  Fecha de estreno en Montevideo: 15 de diciembre de 1953. Cine Coventry."
109,SISSI,Comedia,Romy Schneider,Karleheinz Böhm,Magda Shneider,Ernst Mariscka,1955,Color,DVD,Estreno en ROU: 30/10/1958 Cine Censa
110,EL TESORO DEL AHORCADO,Western,Robert Taylor,Richard Widmark,Patricia Owens,John Sturges,1958,Color,DVD,23-07-1959 Metro
112,SIGANME MUCHACHOS,Comedia,Fred MacMurray,Vera Miles,Lillian Gish,Norman Tokar,1966,Color,DVD,28-06-1968 California
113,LA GUERRA DE LOS MUNDOS,Ciencia Ficción,Gene Barry,Ann Robinson,Les Tremayne,Byron Haskin,1952,Color,DVD,23-08-1954 Plaza
114,FANTOMAS,Comedia,Louis de Funes,Jean Marais,Mylene Demongeot,André Houmeballe,1964,Color,DVD,1-01-1967 Ambassador
117,ESPERANDO LA CARROZA,Comedia,Antonio Gasalla,China Zorrilla,Luis Brandoni,Alejandro Doria,1985,Color,DVD,"4-07-1985 Plaza
Los integrantes de una familia en lucha para ver quien no se hace cargo de la madre octogenaria.
""El elenco es muy importante y los actores se sacan chispas"" Claudio España
 Basada en una obra del uruguayo Jacobo Langsner"
118,LA FURIA DE LOS SIETE MAGNIFICOS,Western,Lee Van Cleef,Stefanie Powers,Rita Rogers,George Mc Cowan,1972,Color,DVD,
119,CAJITA DE MUSICA,Comica,Stan Laurel,Oliver Hardy,Billy Gilbert,James Parrott,1932,ByN,DVD,Propietarios de un carro y un yegua Laure l& Hardy instalan una empresa de entregas. Se le confía llevar un piano a una casa que se encuenra en una colina a la que se accede subiendo una larguísima escalera. El piano parece resistirse a subir y además tener vida propia ya qye varias veces se desliza hacia el inicio de la escalera. Finalmente llegan  destino y alli se dan cuenta que bordeandola colina podías subir con el carro por una calle paralela. Deseos de hacer las cosas bien bajan el piano y lo suben por esa calle con el carro. Como en la casa no hay nadie intentan entrarlo por una ventana.
120,LAS AVENTURAS DE RED RYDER (Serial),Western,Don (Red) Barry,Noah Berry,Tommy Cook,English-Witney,1940,ByN,DVD,
121,TRES MONEDAS EN LA FUENTE,Drama,Dorothy McGuire,Clifton Webb,Louis Jordan,Jean Negulesco,1954,Color,DVD,
122,ALLA EN EL LEJANO OESTE,Comica,Stan Laurel,Oliver Hardy,James Finlayson,James Horne,1937,ByN,DVD,
123,LOS MALDITOS DE QUANTEZ,Western,Fred MacMurray,Dorothy Malone,James Barton,Harry Keller,1957,Color,DVD,"Fred MacMurray da vida a John Coventry, integrante de una banda de atracadores que intenta escapar cruzando hacia la frontera con Mexico. Mientras cabalgan por el árido territorio escapando de los indios se detienen en el abandonado pueblo de Quantez. A medida que los peligros los acechan los ànimos se caldean y las traiciones aparecen. Los rudos criminales terminan convirtiéndose en héroes y otros en villanos mientras se desesperan tratando de cumpir su plan en este psicológico western.
Fecha de estreno en Montevideo: 12-01-1959 Cine Coventry."
124,QUISIERA SER GRANDE,Comedia,Tom Hanks,Elizabeth Perkins,John Heard,Penny Marshall,1988,Color,DVD,
